"gene_name","F_statistic","p_value_raw","p_value_bonf","p_value_fdr","significant","rank_anova"
"gene_142",217.135340694274,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000490383829551064,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000869254376262216,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161872323326297,TRUE,537
"gene_143",29.7170898592143,0.000000000000000000000431427180897122,0.00000000000000000764747820858238,0.000000000000000000000729519148976716,TRUE,10482
"gene_144",13.2499865347844,0.000000000302761397930946,0.00000536674853972395,0.000000000360789817796568,TRUE,14875
"gene_145",483.773109737551,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000170953061938465,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303031397592124,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000312403502672293,TRUE,97
"gene_146",137.687387866222,0.00000000000000000000000000000000000000000000000000000000000000000000000000000356190436737306,0.0000000000000000000000000000000000000000000000000000000000000000000000000631383168160548,0.0000000000000000000000000000000000000000000000000000000000000000000000000000461537403626132,TRUE,1368
"gene_147",6.0409104798374,0.0000950987251474276,1,0.000100412199306844,TRUE,16788
"gene_148",381.827000770905,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000265772616104071,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000471108539306075,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000289023643746059,TRUE,163
"gene_149",29.910598264311,0.000000000000000000000318125643652801,0.00000000000000000563909515938955,0.000000000000000000000539936342339099,TRUE,10444
"gene_150",33.2034537478018,0.0000000000000000000000018839172540379,0.0000000000000000000333943172450758,0.00000000000000000000000344591035446041,TRUE,9691
"gene_151",78.078817757014,0.0000000000000000000000000000000000000000000000000061481265177344,0.00000000000000000000000000000000000000000000010898169065336,0.000000000000000000000000000000000000000000000000028477055305294,TRUE,3827
"gene_152",58.5210763636188,0.000000000000000000000000000000000000000338057817322341,0.00000000000000000000000000000000000599241286985581,0.00000000000000000000000000000000000000105463091690528,TRUE,5682
"gene_153",96.221037377033,0.00000000000000000000000000000000000000000000000000000000000527779082455886,0.0000000000000000000000000000000000000000000000000000000935541201561303,0.0000000000000000000000000000000000000000000000000000000000339333043729163,TRUE,2757
"gene_154",24.7734026194989,0.00000000000000000117236441880987,0.0000000000000207813316878238,0.00000000000000000178518440750999,TRUE,11641
"gene_155",12.3337979754257,0.00000000148936791397208,0.0000264005356430691,0.00000000174548995987234,TRUE,15125
"gene_156",8.87692322481694,0.000000640078705411227,0.0113460351321194,0.000000706389934760267,TRUE,16062
"gene_157",73.745110225158,0.00000000000000000000000000000000000000000000000119056474680781,0.0000000000000000000000000000000000000000000211039507019152,0.00000000000000000000000000000000000000000000000505847332260671,TRUE,4172
"gene_158",83.8919077645233,0.00000000000000000000000000000000000000000000000000000627118929239585,0.000000000000000000000000000000000000000000000000111163101397009,0.0000000000000000000000000000000000000000000000000000321931947283547,TRUE,3453
"gene_159",55.3911748507208,0.0000000000000000000000000000000000000226033500530726,0.000000000000000000000000000000000400666983040766,0.0000000000000000000000000000000000000658558486260299,TRUE,6084
"gene_160",63.5479071254373,0.000000000000000000000000000000000000000000459290181207563,0.00000000000000000000000000000000000000814137775208526,0.00000000000000000000000000000000000000000159260128170682,TRUE,5112
"gene_161",9.21132955868558,0.000000355058374758589,0.00629376475097075,0.000000393507862384066,TRUE,15994
"gene_162",18.5682302634343,0.0000000000000337988232158234,0.000000000599117940323685,0.0000000000000449046574969034,TRUE,13342
"gene_163",56.9215314867603,0.00000000000000000000000000000000000000286958139091854,0.0000000000000000000000000000000000508661997354221,0.00000000000000000000000000000000000000864777282139104,TRUE,5882
"gene_164",4.21225484271908,0.00231805582766607,1,0.00239033493898829,FALSE,17190
"gene_165",175.333939679141,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261603772161036,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000463718846532653,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000056208345034261,TRUE,825
"gene_166",10.9486113212169,0.0000000167626982283936,0.000297135588796505,0.0000000191576781944877,TRUE,15510
"gene_167",3.68781734489136,0.00571017912952396,1,0.00584909767407926,FALSE,17305
"gene_170",38.6176800179291,0.000000000000000000000000000510724294020955,0.00000000000000000000000905309883581544,0.00000000000000000000000000104987809762443,TRUE,8623
"gene_171",21.0040639537923,0.00000000000000057317393226835,0.0000000000101600811233888,0.000000000000000802914582218174,TRUE,12654
"gene_172",234.649454133381,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273969561703558,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000485638445075728,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106266618178496,TRUE,457
"gene_173",89.1392409888493,0.0000000000000000000000000000000000000000000000000000000147431434202732,0.000000000000000000000000000000000000000000000000000261336960267763,0.0000000000000000000000000000000000000000000000000000000836813833710418,TRUE,3123
"gene_174",9.77714801447638,0.000000131130028380057,0.00232441088306489,0.000000146761641814932,TRUE,15838
"gene_175",6.12533410175708,0.0000819740999298504,1,0.0000866574961448311,TRUE,16768
"gene_176",28.0002955982496,0.00000000000000000000654130594732892,0.000000000000000115951189222352,0.0000000000000000000106700275349547,TRUE,10867
"gene_177",74.802752168779,0.000000000000000000000000000000000000000000000000325829893142679,0.00000000000000000000000000000000000000000000577566068584713,0.00000000000000000000000000000000000000000000000141768794448874,TRUE,4074
"gene_178",24.1379984893099,0.00000000000000000329660215507359,0.0000000000000584355698008344,0.00000000000000000495258664300656,TRUE,11799
