"gene_name","MI_score","p_value","p_adj_bonf","p_adj_fdr","significant","rank_mi"
"gene_652",0.319359074227463,0.005,1,0.00516311313060701,TRUE,7751
"gene_653",0.175924909545096,0.005,1,0.00516311313060701,TRUE,14206
"gene_654",0.320762442807601,0.005,1,0.00516311313060701,TRUE,7702
"gene_655",0.425489515418831,0.005,1,0.00516311313060701,TRUE,4342
"gene_656",0.620010904802085,0.005,1,0.00516311313060701,TRUE,1174
"gene_657",0.251457020460349,0.005,1,0.00516311313060701,TRUE,10625
"gene_658",0.188291837640629,0.005,1,0.00516311313060701,TRUE,13635
"gene_659",0.195950875581057,0.005,1,0.00516311313060701,TRUE,13287
"gene_660",0.606283620364819,0.005,1,0.00516311313060701,TRUE,1318
"gene_661",0.604269277992454,0.005,1,0.00516311313060701,TRUE,1339
"gene_662",0.157442863599754,0.005,1,0.00516311313060701,TRUE,15042
"gene_663",0.205875032138093,0.005,1,0.00516311313060701,TRUE,12776
"gene_664",0.302655125486808,0.005,1,0.00516311313060701,TRUE,8436
"gene_665",0.281916336658757,0.005,1,0.00516311313060701,TRUE,9324
"gene_666",0.329001204969312,0.005,1,0.00516311313060701,TRUE,7384
"gene_667",0.39703863426572,0.005,1,0.00516311313060701,TRUE,5135
"gene_668",0.34063537013863,0.005,1,0.00516311313060701,TRUE,6945
"gene_669",0.349061064622551,0.005,1,0.00516311313060701,TRUE,6639
"gene_670",0.262792728126283,0.005,1,0.00516311313060701,TRUE,10133
"gene_671",0.266526262491941,0.005,1,0.00516311313060701,TRUE,9976
"gene_672",0.12487665204484,0.005,1,0.00516311313060701,TRUE,16361
"gene_673",0.195176365457404,0.005,1,0.00516311313060701,TRUE,13333
"gene_674",0.1295059309926,0.005,1,0.00516311313060701,TRUE,16186
"gene_675",0.560242295090413,0.005,1,0.00516311313060701,TRUE,1852
"gene_676",0.296686133446027,0.005,1,0.00516311313060701,TRUE,8694
"gene_677",0.146911610282164,0.005,1,0.00516311313060701,TRUE,15471
"gene_678",0.166513875080669,0.005,1,0.00516311313060701,TRUE,14626
"gene_679",0.216777122482042,0.005,1,0.00516311313060701,TRUE,12285
"gene_680",0.148107099570657,0.005,1,0.00516311313060701,TRUE,15425
"gene_681",0.236594946672573,0.005,1,0.00516311313060701,TRUE,11324
"gene_682",0.22056800002585,0.005,1,0.00516311313060701,TRUE,12084
"gene_683",0.13168152068436,0.005,1,0.00516311313060701,TRUE,16102
"gene_684",0.236414987368994,0.005,1,0.00516311313060701,TRUE,11333
"gene_685",0.20859938327553,0.005,1,0.00516311313060701,TRUE,12644
"gene_686",0.49061338885953,0.005,1,0.00516311313060701,TRUE,2923
"gene_687",0.269047559303392,0.005,1,0.00516311313060701,TRUE,9853
"gene_688",0.128718076944518,0.005,1,0.00516311313060701,TRUE,16211
"gene_689",0.268440058912019,0.005,1,0.00516311313060701,TRUE,9880
"gene_690",0.128074856062192,0.005,1,0.00516311313060701,TRUE,16243
"gene_691",0.185505687463019,0.005,1,0.00516311313060701,TRUE,13775
"gene_692",0.104029183444478,0.005,1,0.00516311313060701,TRUE,16983
"gene_693",0.259135809966559,0.005,1,0.00516311313060701,TRUE,10290
"gene_694",0.130185443857918,0.005,1,0.00516311313060701,TRUE,16164
"gene_695",0.0725002681935196,0.015,1,0.0153021408839779,TRUE,17584
"gene_696",0.160215704896993,0.005,1,0.00516311313060701,TRUE,14914
"gene_697",0.429451001018325,0.005,1,0.00516311313060701,TRUE,4236
"gene_698",0.145230416274589,0.005,1,0.00516311313060701,TRUE,15540
"gene_699",0.358452603991171,0.005,1,0.00516311313060701,TRUE,6313
"gene_701",0.30327283273127,0.005,1,0.00516311313060701,TRUE,8415
"gene_702",0.346072268685195,0.005,1,0.00516311313060701,TRUE,6752
"gene_703",0.311794860223729,0.005,1,0.00516311313060701,TRUE,8053
"gene_704",0.457665254242308,0.005,1,0.00516311313060701,TRUE,3574
"gene_705",0.163234286373887,0.005,1,0.00516311313060701,TRUE,14775
"gene_707",0.545839506864438,0.005,1,0.00516311313060701,TRUE,2033
"gene_708",0.160219069597559,0.005,1,0.00516311313060701,TRUE,14913
"gene_709",0.200104994373765,0.005,1,0.00516311313060701,TRUE,13099
"gene_710",0.306096337623896,0.005,1,0.00516311313060701,TRUE,8291
"gene_711",0.330729905389944,0.005,1,0.00516311313060701,TRUE,7326
"gene_712",0.307492931161824,0.005,1,0.00516311313060701,TRUE,8234
"gene_713",0.139158881779654,0.005,1,0.00516311313060701,TRUE,15809
"gene_714",0.451511804031631,0.005,1,0.00516311313060701,TRUE,3695
"gene_715",0.204996177831368,0.005,1,0.00516311313060701,TRUE,12830
"gene_716",0.0992323533011055,0.005,1,0.00516311313060701,TRUE,17101
"gene_717",0.121396931373887,0.005,1,0.00516311313060701,TRUE,16466
"gene_718",0.532281393363728,0.005,1,0.00516311313060701,TRUE,2243
"gene_719",0.165888406381755,0.005,1,0.00516311313060701,TRUE,14653
"gene_720",0.28096622699086,0.005,1,0.00516311313060701,TRUE,9359
"gene_721",0.338095369211286,0.005,1,0.00516311313060701,TRUE,7057
"gene_722",0.394111940864872,0.005,1,0.00516311313060701,TRUE,5233
"gene_723",0.292524130542069,0.005,1,0.00516311313060701,TRUE,8878
"gene_724",0.359730695755197,0.005,1,0.00516311313060701,TRUE,6282
"gene_725",0.136727330415553,0.005,1,0.00516311313060701,TRUE,15895
"gene_726",0.0899197918855732,0.015,1,0.0153021408839779,TRUE,17321
